State FIPS Code,Premature Death Black,Premature Death White,FIPS Code
00,13698.397493,8038.489963,00000
01,15767.493943,10855.355098,01000
01,14123.416478,9204.935423,01001
01,14756.810615,8730.3548402,01003
01,15318.969816,10657.611948,01005
01,11576.084947,11951.858059,01007
01,20007.076409,12605.22656,01009
01,19644.613375,9641.0202232,01011
01,17911.769834,12175.887746,01013
01,15369.189349,14640.803654,01015
01,13770.740282,12022.063696,01017
01,10186.746839,13147.391579,01019
01,13709.904717,12205.924987,01021
01,16377.209767,10888.109934,01023
01,20046.220218,13592.753565,01025
01,13873.276197,13399.797421,01027
01,,12688.603997,01029
01,17446.127733,9260.3220446,01031
01,17447.633843,11531.494037,01033
01,21894.198447,18061.37597,01035
01,21679.053653,12183.222228,01037
01,23507.141183,13850.254485,01039
01,18278.022489,12937.786182,01041
01,8561.1201647,12200.697074,01043
01,13991.875402,12314.419509,01045
01,23108.824115,13897.291745,01047
01,16438.052197,13165.340187,01049
01,12329.134806,9011.5686028,01051
01,16464.440757,14733.108308,01053
01,19933.321384,14292.259145,01055
01,19560.206682,14602.274783,01057
01,22308.427183,13638.124548,01059
01,25279.25728,13853.265634,01061
01,16184.85154,16696.201961,01063
01,19642.222642,11096.801328,01065
01,16382.549992,8872.0410025,01067
01,15567.470421,9723.9920766,01069
01,16439.816484,14446.821183,01071
01,17503.645334,10096.052682,01073
01,18911.489515,11619.803322,01075
01,16304.794098,9507.6776928,01077
01,22370.80964,14246.422775,01079
01,12544.060523,6862.0947108,01081
01,8558.6951989,9248.7549364,01083
01,22345.234593,15486.246454,01085
01,17602.786187,10328.759798,01087
01,12287.537135,8619.8982683,01089
01,18377.461573,11492.693523,01091
01,10167.848148,13122.961336,01093
01,15626.59209,13498.904735,01095
01,15884.084942,11260.681913,01097
01,20546.676284,12581.108523,01099
01,15403.244165,9623.3972448,01101
01,18148.549107,12119.496691,01103
01,21188.780241,8522.1868736,01105
01,17875.70708,11054.330688,01107
01,18087.809853,11500.005405,01109
01,13830.439576,11627.111235,01111
01,13863.542,16154.99102,01113
01,13481.427955,12030.764853,01115
01,8973.9704092,6863.6859118,01117
01,18630.570142,9315.4649957,01119
01,17193.726355,14850.11994,01121
01,13875.102993,11788.053298,01123
01,13711.956846,8761.3956166,01125
01,20941.05142,18753.645779,01127
01,15580.422329,11633.888699,01129
01,22377.962504,14111.838644,01131
01,,12611.984531,01133
02,8895.2795965,7388.1934306,02000
02,,,02013
02,,,02016
02,10316.195983,7212.0121301,02020
02,,,02050
02,,,02060
02,,,02063
02,,,02066
02,,,02068
02,,,02070
02,6196.086214,7532.8280802,02090
02,,12481.100188,02100
02,,,02105
02,,5101.9220911,02110
02,,8012.6044649,02122
02,,8783.164299,02130
02,,5796.258666,02150
02,,,02158
02,,,02164
02,10957.328478,8298.4442881,02170
02,,,02180
02,,,02185
02,,,02188
02,,4787.1798795,02195
02,,12626.085307,02198
02,,4667.5304751,02220
02,,,02230
02,,7187.6667031,02240
02,,14087.940776,02275
02,,,02282
02,,5431.4463016,02290
04,13591.73561,8344.7326684,04000
04,,15764.509075,04001
04,9759.3709537,9683.7482288,04003
04,,6006.3367132,04005
04,,16613.869185,04007
04,,8560.1607235,04009
04,,13236.006689,04011
04,,29299.45665,04012
04,13996.412696,7524.505305,04013
04,14196.599741,13891.841018,04015
04,,11751.983275,04017
04,14053.371661,9213.0531893,04019
04,11611.629278,8287.1590883,04021
04,,7045.6549305,04023
04,9542.1953015,10508.016184,04025
04,11505.176711,11523.63423,04027
05,16860.809929,11054.320145,05000
05,21363.719479,15812.00143,05001
05,21765.324577,13892.750182,05003
05,,11435.44404,05005
05,8504.7483754,7787.9663663,05007
05,,11227.322588,05009
05,17151.661589,12864.564969,05011
05,26276.072847,16445.675194,05013
05,,11696.931014,05015
05,21290.401906,12790.938759,05017
05,16204.888657,11441.004706,05019
05,,11271.284993,05021
05,,10254.700078,05023
05,17925.885784,13423.936537,05025
05,19927.436636,10736.716834,05027
05,13216.971704,13029.945404,05029
05,15888.76233,9522.4237177,05031
05,,12276.755494,05033
05,20183.925728,13702.713131,05035
05,16561.744355,13729.918197,05037
05,23383.766354,12094.679066,05039
05,18109.465984,14790.361793,05041
05,19069.476881,10884.808545,05043
05,13254.798436,8621.2474234,05045
05,,13795.126376,05047
05,,12886.990789,05049
05,22408.706852,14049.415041,05051
05,,11306.202398,05053
05,,11145.390884,05055
05,14493.199201,11953.04858,05057
05,14200.293984,12964.671136,05059
05,18973.834412,13088.129696,05061
05,,10981.899454,05063
05,,12978.030845,05065
05,18536.70752,14017.676235,05067
05,17417.27429,14380.088556,05069
05,,13323.798723,05071
05,17777.804006,13800.545942,05073
05,,14600.016479,05075
05,20982.717157,17253.996134,05077
05,9731.9044092,12444.98492,05079
05,19234.052704,11627.373794,05081
05,,13862.320611,05083
05,14811.634671,10095.965112,05085
05,,10802.744149,05087
05,,11908.783231,05089
05,18698.991362,12913.033529,05091
05,23376.092464,16075.229775,05093
05,25327.084878,14957.822752,05095
05,,15281.138362,05097
05,12093.203215,13226.010751,05099
05,,12375.855123,05101
05,18956.429266,12498.466016,05103
05,,10383.754045,05105
05,22422.749372,15645.692047,05107
05,,14353.288448,05109
05,24223.40911,16238.043773,05111
05,,13721.727178,05113
05,12210.860222,9961.4020812,05115
05,17706.277704,12104.264305,05117
05,15971.883434,10394.107814,05119
05,,13668.616228,05121
05,19411.311351,12173.645052,05123
05,10080.824136,9953.3825643,05125
05,,19158.853058,05127
05,,11578.765857,05129
05,15552.434666,13456.271188,05131
05,,14102.293636,05133
05,,13030.530024,05135
05,,11312.561884,05137
05,20962.499711,13011.740921,05139
05,,11985.211178,05141
05,11692.000456,8175.0727507,05143
05,14526.470014,12124.123623,05145
05,13569.448735,10860.408178,05147
05,,11524.639016,05149
06,13413.057341,6730.782084,06000
06,14120.057205,4733.730923,06001
06,,,06003
06,,8221.6010788,06005
06,16073.373865,9822.1119176,06007
06,,8433.9458505,06009
06,,8543.2924462,06011
06,13014.945066,5208.3544198,06013
06,,11855.919947,06015
06,13288.320431,6604.5879542,06017
06,18121.65678,8588.5399679,06019
06,,12089.080902,06021
06,10521.330006,9278.5498305,06023
06,12826.442708,12242.13221,06025
06,,8788.9030636,06027
06,19408.194456,12489.237861,06029
06,7741.8893501,8432.3521151,06031
06,26981.73168,12452.255099,06033
06,,13382.62145,06035
06,13610.916445,5962.9316462,06037
06,9701.6528842,9524.1146029,06039
06,7370.0218012,3882.5162896,06041
06,,10063.640247,06043
